Sample_Name,Strain_Alias,Heterozygosity,Introgressions,Fraction_Heterozygous_Introgressions,Phylogenetic_Clade,Main_Ancestral_pop,Main_Anc_Pop_Q,Secondary_Ancestral_Pop,Secondary_Anc_Pop_Q,used_in_ADMIXTURE,Used_in_supporting_phylogenies,Used_in_main_phylogeny,Used_in_MDSA,Reference,,,,,,,,,,,,
ARK,CBS1602,0.055,10,0.1,1. Wine/European,1,1,7,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AAC,CBS2165a,0.312,6,0.17,11. Ale beer,17,1,16,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
ARM,CBS2188,0.075,15,0.27,25. Sake,21,1,18,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AHK,CBS2247,0.017,8,0,1. Wine/European,8,1,14,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AID,CBS2909,0.054,282,0.23,2. Alpechin,8,1,1,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AIE,CBS2910,0.015,239,0.05,2. Alpechin,8,1,0,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AHH,CBS3000,0.026,19,0.16,24. Asian islands,21,0.78,4,0.14,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AHL,CBS3081,0.014,286,0.06,2. Alpechin,8,1,0,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AHM,CBS3093,0.015,239,0.07,2. Alpechin,8,1,0,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
ABM,CBS3093_1b,0.016,239,0.07,2. Alpechin,8,1,0,0,1,1,1,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
APR,CBS403,0.02,19,0.21,13. African palm wine,5,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AGL,CBS4458,0.022,11,0,1. Wine/European,1,1,11,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
ASD,CBS4507,0.051,10,0,1. Wine/European,1,1,17,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AQA,CBS4903,0.016,255,0.07,2. Alpechin,8,1,16,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AQB,CBS5112,0.02,27,0.07,1. Wine/European,1,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AQC,CBS5155,0.051,8,0,1. Wine/European,8,1,5,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AQD,CBS5378,0.37,15,0.13,2. Alpechin,10,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AGB,CBS6308,0.343,6,0,11. Ale beer,17,1,5,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AHA,CBS6333,0.033,14,0.14,M3. Mosaic region 3,21,0.45,20,0.3,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AHI,CBS6914,0.017,10,0,1. Wine/European,1,1,8,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AQG,CBS7539,0.221,30,0.13,7. Mosaic beer,1,0.43,17,0.4,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AFQ,CBS7993,0.037,21,0.19,M2. Mosaic region 2,20,0.39,1,0.38,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AQI,CBS8292,0.431,13,0.23,8. Mixed Origin,10,0.91,1,0.09,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BBG,CCY_21-4-106,0.375,11,0.18,11. Ale beer,17,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CDT,CECT10171-5B,0.017,279,0.06,2. Alpechin,8,1,7,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AVB,CECT10266,0.05,261,0.24,2. Alpechin,8,1,17,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CDR,CECT10331:9-1,0.035,15,0.07,8. Mixed Origin,10,0.96,1,0.04,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
ATQ,CECT10497,0.021,11,0,2. Alpechin,1,1,11,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
ATV,CECT1462,0.505,8,0.13,11. Ale beer,17,1,11,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AVP,CH06,0.424,9,0.22,6. African beer,11,1,9,0,1,1,1,1,"Al Safadi et al., FEMS Yeast Res, 2010",,,,,,,,,,,,
BHK,CLIB1077,0.306,14,0.21,M1. Mosaic region 1,20,0.49,1,0.41,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BHL,CLIB1082,0.304,32,0.47,M1. Mosaic region 1,1,0.73,20,0.13,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BHR,CLIB1413,0.12,10,0.3,26. Asian fermentation,21,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AAM,CLIB192_1b,0.026,12,0,8. Mixed Origin,10,0.93,1,0.07,1,1,1,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
AAN,CLIB274_1,0.421,9,0.22,8. Mixed Origin,10,1,9,0,1,1,1,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
ADM,CLIB324_2,0.429,13,0.23,8. Mixed Origin,10,0.82,17,0.18,1,1,1,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
ASL,CLIB340,0.361,15,0.13,8. Mixed Origin,10,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AAR,CLIB382_1b,0.033,11,0,7. Mosaic beer,17,0.59,1,0.41,1,1,1,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
BGQ,CLIB563,0.292,9,0,5. French dairy,3,0.41,1,0.3,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AKT,CLQCA_10-003,0.432,13,0.15,8. Mixed Origin,10,0.83,17,0.17,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BDL,CLQCA_10-386,0.419,14,0.14,8. Mixed Origin,10,0.62,17,0.38,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CAI,D-4,0.237,11,0.09,1. Wine/European,1,0.81,8,0.19,1,1,1,1,"Capece et al., Food Micr., 2013",,,,,,,,,,,,
BNG,DBVPG1085,0.26,10,0,1. Wine/European,8,0.69,1,0.31,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BKP,DBVPG1581,0.117,6,0.17,1. Wine/European,1,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BLK,DBVPG1631,0.032,21,0.05,1. Wine/European,1,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BLN,DBVPG1659,0.103,8,0,1. Wine/European,1,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BNV,DBVPG1790,0.019,8,0,1. Wine/European,1,1,8,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BPN,DBVPG1895,0.368,7,0,1. Wine/European,17,0.57,1,0.21,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BPQ,DBVPG1918,0.024,25,0.08,1. Wine/European,1,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BPR,DBVPG1919,0.122,9,0,1. Wine/European,8,1,14,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BQS,DBVPG4410,0.062,7,0,1. Wine/European,1,1,7,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BRK,DBVPG6302,0.02,238,0.07,2. Alpechin,8,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BRM,DBVPG6590,0.036,10,0,7. Mosaic beer,17,0.6,1,0.4,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BAA,DJ66,0.207,12,0.17,13. African palm wine,5,0.49,21,0.43,1,1,1,1,"Tapsoba et al., IJFM, 2015",,,,,,,,,,,,
AIM,E4,0.209,9,0,1. Wine/European,8,0.62,1,0.38,1,1,1,1,"Cocolin et al., FEMS YR, 2004",,,,,,,,,,,,
CEG,EM14S01-3B,0.01,35,0.14,17. Taiwanese,16,1,9,0,1,1,1,1,"Naumov et al., A.v.l., 2012",,,,,,,,,,,,
AMF,ES2M03,0.034,18,0.17,CHN-VI,0,1,9,0,1,1,1,1,"Naumov et al., A.v.l., 2012",,,,,,,,,,,,
CEH,ES2M03-7A,0.04,18,0.17,CHN-VI,0,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BFN,EXF-7145,0.043,278,0.13,5. French dairy,8,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BFP,EXF-7197,0.032,22,0.23,4. Mediterranean oak,11,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CRD,FIMA_3,0.02,9,0,1. Wine/European,1,1,8,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CPT,FTPW3,0.085,15,0.13,13. African palm wine,5,1,17,0,1,1,1,1,"Tapsoba et al., IJFM, 2015",,,,,,,,,,,,
CQA,FTPW32,0.041,11,0.18,13. African palm wine,5,1,17,0,1,1,1,1,"Tapsoba et al., IJFM, 2015",,,,,,,,,,,,
CQB,FTPW35,0.083,12,0.08,13. African palm wine,5,1,11,0,1,1,1,1,"Tapsoba et al., IJFM, 2015",,,,,,,,,,,,
BAM,HN10,0.022,21,0.19,14. CHNIII,16,0.71,0,0.18,1,1,1,1,"Wang et al., ME, 2012",,,,,,,,,,,,
BAN,HN15,0.027,20,0.2,20. CHN V,0,0.65,4,0.28,1,1,1,1,"Wang et al., ME, 2012",,,,,,,,,,,,
BAL,HN6,0.012,24,0.25,16. CHNI,16,1,9,0,1,1,1,1,"Wang et al., ME, 2012",,,,,,,,,,,,
AMC,IY_03-5-26-5-1-1_(1),0.032,19,0.11,Wild_North_American,0,1,9,0,1,1,1,1,"Nguyen et al., Mycologia, 2007",,,,,,,,,,,,
ADN,K1_1,0.023,15,0.27,25. Sake,21,1,9,0,1,1,1,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
CCQ,Ksc2-2B,0.03,22,0.18,18. Far East Asia,13,0.53,16,0.24,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BTP,L-1198,0.27,10,0.2,1. Wine/European,8,0.73,1,0.27,1,1,1,1,"Cubillos et al., FEMS ME, 2009",,,,,,,,,,,,
BSR,L-958,0.293,10,0.2,1. Wine/European,8,0.76,1,0.24,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BSS,L-960,0.298,10,0.2,1. Wine/European,8,0.75,1,0.25,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BDN,MAJ_G,0.076,9,0.11,6. African beer,11,1,21,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AIN,MC5,0.072,10,0,1. Wine/European,1,1,6,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AIP,MC6,0.102,8,0,1. Wine/European,8,1,3,0,1,1,1,1,"Ciani et al, A.v.l., 2004",,,,,,,,,,,,
CQL,MTF2554,0.276,17,0.24,12. West African cocoa,1,0.38,5,0.27,1,1,1,1,"Jespersen et.al, JID, 2013",,,,,,,,,,,,
CDI,N163.01-5A,0.029,24,0.17,22. Far East Russian,0,1,7,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CCL,N19-1C,0.033,20,0.2,4. Mediterranean oak,11,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CDG,N3.00-7A,0.03,23,0.13,22. Far East Russian,0,1,10,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CDD,N38-4A,0.028,23,0.13,M3. Mosaic region 3,0,0.5,16,0.23,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CDL,N51-1A,0.031,21,0.14,18. Far East Asia,16,0.87,4,0.13,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CDP,N95-5-1A,0.036,21,0.19,Wild_North_American,0,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CDQ,N95-6-1C,0.036,21,0.19,Wild_North_American,0,1,16,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
ADG,NC_02_b,0.033,21,0.19,Wild_North_American,0,1,9,0,1,1,1,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
AKE,NPA03.1,0.022,18,0.11,13. African palm wine,5,1,9,0,1,1,1,1,"Ezeronye et al., IJFM, 2009",,,,,,,,,,,,
APE,RIB1003,0.043,16,0.38,25. Sake,21,1,18,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CML,RIB6006,0.03,15,0.27,25. Sake,21,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BVB,RP.10.13,0.357,30,0.47,3. Brazilian bioethanol,20,0.97,4,0.03,1,1,1,1,"Antonangelo et al., Yeast, 2013",,,,,,,,,,,,
CNS,RP11.4.1,0.311,18,0.39,3. Brazilian bioethanol,20,0.93,4,0.07,1,1,1,1,"Antonangelo et al., Yeast, 2013",,,,,,,,,,,,
CNT,RP11.4.11,0.313,18,0.39,3. Brazilian bioethanol,20,0.93,4,0.07,1,1,1,1,"Antonangelo et al., Yeast, 2013",,,,,,,,,,,,
CNV,RP11.4.14,0.257,16,0.25,3. Brazilian bioethanol,20,1,1,0,1,1,1,1,"Antonangelo et al., Yeast, 2013",,,,,,,,,,,,
CCV,S8BM-30-2D,0.033,13,0.15,24. Asian islands,21,0.77,4,0.15,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CNK,SA.1.5.,0.238,25,0.24,3. Brazilian bioethanol,20,1,9,0,1,1,1,1,"Antonangelo et al., Yeast, 2013",,,,,,,,,,,,
CHM,SBD,0.1,13,0.23,26. Asian fermentation,21,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CHL,SBE-1C,0.405,13,0,8. Mixed Origin,10,0.92,1,0.07,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CBF,SD-15,0.627,14,0.14,8. Mixed Origin,10,0.76,17,0.24,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BSN,SG60,0.177,9,0.11,1. Wine/European,1,1,9,0,1,1,1,1,"Stefanini et al., PNAS, 2016",,,,,,,,,,,,
AML,SJ5L11,0.502,14,0.07,8. Mixed Origin,10,1,21,0,1,1,1,1,"Naumov et al., A.v.l., 2012",,,,,,,,,,,,
AMN,SJ5L13,0.599,14,0.14,8. Mixed Origin,10,0.94,17,0.06,1,1,1,1,"Naumov et al., A.v.l., 2012",,,,,,,,,,,,
AMS,SJ5L17,0.112,12,0,1. Wine/European,1,1,7,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CNG,SM.8.7.BR1,0.313,22,0.36,3. Brazilian bioethanol,20,1,9,0,1,1,1,1,"Antonangelo et al., Yeast, 2013",,,,,,,,,,,,
BAH,SX3,0.015,19,0.21,15. CHNII,16,1,9,0,1,1,1,1,"Wang et al., ME, 2012",,,,,,,,,,,,
CGG,TayTa,0.132,14,0.29,26. Asian fermentation,21,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
ACB,TL229S2.2,0.035,11,0.09,M3. Mosaic region 3,20,0.6,21,0.24,1,1,1,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
CGB,UCD_05-780,0.03,29,0.1,M3. Mosaic region 3,1,0.45,0,0.4,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CGC,UCD_06-645,0.465,10,0.3,11. Ale beer,17,1,14,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CGD,UCD_09-448,0.016,296,0.06,2. Alpechin,8,1,17,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CGE,UCD_11-601,0.015,300,0.06,2. Alpechin,8,1,16,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CFT,UCD_40-346,0.33,31,0.13,M2. Mosaic region 2,1,0.66,0,0.13,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
CDN,UCD_61-190-6A,0.035,49,0.2,15. CHNII,0,0.5,4,0.41,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
UFMG-CM-Y639,UFMG-CM-Y639,0.031,15,0.13,M3. Mosaic region 3,20,0.67,21,0.21,1,1,1,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
UFMG-CM-Y640,UFMG-CM-Y640,0.026,17,0.29,Wild_North_American,0,0.65,4,0.21,1,1,1,1,"Barbosa et al., GBE, 2016",,,,,,,,,,,,
CDM,UFRJ_50613-2D(a),0.039,24,0.17,M2. Mosaic region 2,1,0.41,20,0.35,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BMB,UWOPS03-433.3,0.013,17,0.24,19. Malaysian,13,0.58,4,0.19,1,1,1,1,"Naumov et al., Micr., 2009",,,,,,,,,,,,
CGH,VNL3,0.25,9,0.22,Other,21,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
ACI,Y10_1b,0.039,14,0.29,M3. Mosaic region 3,21,0.6,11,0.16,1,1,1,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
ACL,Y3_1b,0.03,19,0.16,M3. Mosaic region 3,21,0.66,1,0.11,1,1,1,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
ADA,Y55_1b,0.03,17,0.12,M3. Mosaic region 3,5,0.63,1,0.37,1,1,1,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
SACE_YCU,YJM1434,0.033,20,0.15,Wild_North_American,13,1,9,0,1,1,1,1,"Strope, Gen Res, 2015",,,,,,,,,,,,
SACE_YCW,YJM1443,0.027,19,0.16,Wild_North_American,0,1,13,0,1,1,1,1,"Strope, Gen Res, 2015",,,,,,,,,,,,
SACE_YCZ,YJM1450,0.027,8,0.13,M2. Mosaic region 2,1,0.48,11,0.26,1,1,1,1,"Strope, Gen Res, 2015",,,,,,,,,,,,
ACN,YJM269_1b,0.033,7,0,M3. Mosaic region 3,20,0.91,21,0.09,1,1,1,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
BMK,YJM990,0.019,8,0,1. Wine/European,1,1,8,0,1,1,1,1,"McCullough et al., JoCM, 1998",,,,,,,,,,,,
AKN,YPS128,0.032,19,0.16,Wild_North_American,13,1,4,0,1,1,1,1,"Sniegowski et al., FEMS YR, 2002",,,,,,,,,,,,
ANC,YPS129,0.033,19,0.11,Wild_North_American,13,1,10,0,1,1,1,1,"Sniegowski et al., FEMS YR, 2002",,,,,,,,,,,,
AND,YPS133,0.035,19,0.16,Wild_North_American,13,1,2,0,1,1,1,1,"Sniegowski et al., FEMS YR, 2002",,,,,,,,,,,,
ACD,YPS163_1b,0.035,19,0.16,Wild_North_American,13,1,4,0,1,1,1,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
CMS,YPS670,0.036,20,0.15,Wild_North_American,0,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
APK,YS10(E),0.525,13,0.08,8. Mixed Origin,10,1,9,0,1,1,1,1,"Bell et al., LAM, 2001",,,,,,,,,,,,
APM,YS15,0.354,13,0.15,8. Mixed Origin,10,1,9,0,1,1,1,1,"Bell et al., LAM, 2001",,,,,,,,,,,,
APN,YS19,0.518,13,0.08,8. Mixed Origin,10,1,9,0,1,1,1,1,"Bell et al., LAM, 2001",,,,,,,,,,,,
BTF,YS22(E),0.37,15,0.13,8. Mixed Origin,10,1,9,0,1,1,1,1,"Bell et al., LAM, 2001",,,,,,,,,,,,
BTG,ZP_567,0.031,22,0.23,4. Mediterranean oak,11,1,9,0,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
BTI,ZP_611,0.036,11,0.18,M3. Mosaic region 3,0,0.57,1,0.25,1,1,1,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
A8,A8,,,,2. Alpechin,,,,,,1,1,0,"Pontes et al., FrontGenet, 2019",,,,,,,,,,,,
AP 16.1,AP_16_1,,,,2. Alpechin,,,,,,1,1,0,"Pontes et al., FrontGenet, 2019",,,,,,,,,,,,
AP 17.1,AP_17_1,,,,2. Alpechin,,,,,,1,1,0,"Pontes et al., FrontGenet, 2019",,,,,,,,,,,,
AP 5.4,AP_5_4,,,,2. Alpechin,,,,,,1,1,0,"Pontes et al., FrontGenet, 2019",,,,,,,,,,,,
AP 6.2,AP_6_2,,,,2. Alpechin,,,,,,1,1,0,"Pontes et al., FrontGenet, 2019",,,,,,,,,,,,
AP 7.2,AP_7_2,,,,2. Alpechin,,,,,,1,1,0,"Pontes et al., FrontGenet, 2019",,,,,,,,,,,,
MM 11,MM_11,,,,2. Alpechin,,,,,,1,1,0,"Pontes et al., FrontGenet, 2019",,,,,,,,,,,,
NRRL-Y 12658,NRRL_Y_12658,,,,2. Alpechin,,,,,,1,1,0,"Pontes et al., FrontGenet, 2019",,,,,,,,,,,,
PYCC 2613,PYCC_2613,,,,2. Alpechin,,,,,,1,1,0,"Pontes et al., FrontGenet, 2019",,,,,,,,,,,,
PYCC 2708,PYCC_2708,,,,2. Alpechin,,,,,,1,1,0,"Pontes et al., FrontGenet, 2019",,,,,,,,,,,,
PYCC 4891,PYCC_4891,,,,2. Alpechin,,,,,,1,1,0,"Pontes et al., FrontGenet, 2019",,,,,,,,,,,,
PYCC 4935,PYCC_4935,,,,2. Alpechin,,,,,,1,1,0,"Pontes et al., FrontGenet, 2019",,,,,,,,,,,,
PYCC 6730,PYCC_6730,,,,2. Alpechin,,,,,,1,1,0,"Pontes et al., FrontGenet, 2019",,,,,,,,,,,,
PYCC 6731,PYCC_6731,,,,2. Alpechin,,,,,,1,1,0,"Pontes et al., FrontGenet, 2019",,,,,,,,,,,,
PYCC 6732,PYCC_6732,,,,2. Alpechin,,,,,,1,1,0,"Pontes et al., FrontGenet, 2019",,,,,,,,,,,,
PYCC 6733,PYCC_6733,,,,2. Alpechin,,,,,,1,1,0,"Pontes et al., FrontGenet, 2019",,,,,,,,,,,,
S27,S27,,,,2. Alpechin,,,,,,1,1,0,"Pontes et al., FrontGenet, 2019",,,,,,,,,,,,
YO 652,YO_652,,,,2. Alpechin,,,,,,1,1,0,"Pontes et al., FrontGenet, 2019",,,,,,,,,,,,
YO 653,YO_653,,,,2. Alpechin,,,,,,1,1,0,"Pontes et al., FrontGenet, 2019",,,,,,,,,,,,
YO 654,YO_654,,,,2. Alpechin,,,,,,1,1,0,"Pontes et al., FrontGenet, 2019",,,,,,,,,,,,
ZIM 2221,ZIM_2221,,,,2. Alpechin,,,,,,1,1,0,"Pontes et al., FrontGenet, 2019",,,,,,,,,,,,
AAA,RM11-1a,,,,1. Wine/European,,,,,,,,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AAE,CBS2806a,,,,1. Wine/European,,,,,,,,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AAI,CBS2966a,,,,1. Wine/European,,,,,,,,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AAK,CBS4093a,,,,1. Wine/European,,,,,,,,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
ABE,YJM434_1b,,,,1. Wine/European,,,,,,,,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
ABP,CECT10109_1b,,,,1. Wine/European,,,,,,,,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
ABQ,DBVPG1788_1b,,,,1. Wine/European,,,,,,,,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
ABR,DBVPG1794_1b,,,,1. Wine/European,,,,,,,,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
ABS,DBVPG3591_1b,,,,1. Wine/European,,,,,,,,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
ABT,DBVPG4651_1b,,,,1. Wine/European,,,,,,,,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
ACF,CLIB294_1b,,,,1. Wine/European,,,,,,,,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
ACP,CLIB154_1b,,,,1. Wine/European,,,,,,,,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
ACR,DBVPG1339_1b,,,,1. Wine/European,,,,,,,,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
ACT,UC8_1b,,,,1. Wine/European,,,,,,,,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
ACV,WE372_1b,,,,1. Wine/European,,,,,,,,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
ADB,Y9J_1b,,,,1. Wine/European,,,,,,,,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
ADC,UC1_1b,,,,1. Wine/European,,,,,,,,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
ADD,IL_01_b,,,,1. Wine/European,,,,,,,,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
ADI,YJM981_b,,,,1. Wine/European,,,,,,,,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
ADR,M22_1b,,,,1. Wine/European,,,,,,,,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
ADS,T73_1b,,,,1. Wine/European,,,,,,,,1,"Schacherer et al., Nature, 2009",,,,,,,,,,,,
AEK,CBS4079,,,,1. Wine/European,,,,,,,,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AES,CBS4054,,,,1. Wine/European,,,,,,,,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AET,CBS6007,,,,1. Wine/European,,,,,,,,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AFI,CBS2183,,,,1. Wine/European,,,,,,,,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AFV,CBS2814,,,,1. Wine/European,,,,,,,,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AGA,CBS3012,,,,1. Wine/European,,,,,,,,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
AGF,CBS1479,,,,1. Wine/European,,,,,,,,1,"Peter and De Chiara et al., Nature, 2018",,,,,,,,,,,,
